time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume XTZ,open XTZ
7/15/2020 9:00,-0.133147114,130,-17.30912482,263037.44,2.932666667
7/15/2020 12:00,-0.008148148,312,-2.542222176,1417945.6,3.031233333
7/15/2020 15:00,-0.125126363,310,-38.78917253,1422164.61,3.050633333
7/15/2020 18:00,-0.070044822,616,-43.14761035,1727987.39,3.020766667
7/15/2020 21:00,-0.044220508,969,-42.84967225,1296481.77,3.092966667
7/16/2020 0:00,-0.001997579,388,-0.775060652,2917993.45,3.2624
7/16/2020 3:00,-0.071469156,163,-11.64947243,926695.96,3.243133333
7/16/2020 6:00,0.017382413,69,1.199386497,1123040.28,3.129933333
7/16/2020 9:00,-0.034666667,157,-5.442666719,1145532.63,3.0611
7/16/2020 12:00,-0.021254682,288,-6.121348416,940569.59,3.015033333
7/16/2020 15:00,-0.035248736,217,-7.648975712,1289417.81,3.1344
7/16/2020 18:00,-0.071335979,272,-19.40338629,1198812.24,3.142766667
7/16/2020 21:00,-0.012173794,407,-4.954734158,715960.32,3.103633333
7/17/2020 0:00,-0.006912879,223,-1.541572017,480952.1,3.076733333
7/17/2020 3:00,-0.055719921,152,-8.469427992,428329.26,3.0728
7/17/2020 6:00,0.060157791,72,4.331360952,391398.63,3.0652
7/17/2020 9:00,-0.014488636,124,-1.796590864,347876.24,3.122233333
7/17/2020 12:00,-0.065819209,195,-12.83474576,517519.73,3.156633333
7/17/2020 15:00,0.060380952,261,15.75942847,410127.5,3.1098
7/17/2020 18:00,-0.062734082,217,-13.61329579,792167.31,3.127833333
7/17/2020 21:00,-0.192497065,835,-160.7350493,333685.68,3.189933333
7/18/2020 0:00,-0.140112994,212,-29.70395473,1064819.22,3.130333333
7/18/2020 3:00,0.035440613,96,3.402298848,2741074.75,3.033666667
7/18/2020 6:00,-0.046536797,72,-3.350649384,258816.11,3.0334
7/18/2020 9:00,-0.011299435,100,-1.1299435,155631.85,3.0617
7/18/2020 12:00,0.012204044,179,2.184523876,170491.37,3.0348
7/18/2020 15:00,-0.051542208,215,-11.08157472,394472.1,3.027966667
7/18/2020 18:00,-0.022678904,178,-4.036844912,294370.46,3.048366667
7/18/2020 21:00,-0.067872616,352,-23.89116083,219421.34,3.032866667
7/19/2020 0:00,-0.068491736,158,-10.82169429,605599.67,3.0197
7/19/2020 3:00,-0.0208577,98,-2.0440546,310024.08,2.9891
7/19/2020 6:00,0.006369427,51,0.324840777,145670.22,2.9985
7/19/2020 9:00,-0.020833333,70,-1.45833331,126834.29,3.008966667
7/19/2020 12:00,0.037758945,176,6.64557432,644786.7,2.950733333
7/19/2020 15:00,-0.017043314,227,-3.868832278,303534.65,2.930133333
7/19/2020 18:00,-0.096860867,226,-21.89055594,391637.22,2.935
7/19/2020 21:00,-0.096664499,473,-45.72230803,343785.33,2.9718
7/20/2020 0:00,0.022159091,177,3.922159107,367938.59,2.962933333
7/20/2020 3:00,0.012643678,70,0.88505746,191559.21,2.960666667
7/20/2020 6:00,-0.007291667,78,-0.568750026,94817.38,2.943866667
7/20/2020 9:00,0.021117424,91,1.921685584,176414.67,2.948166667
7/20/2020 12:00,-0.031460674,228,-7.173033672,478050.62,2.909033333
7/20/2020 15:00,-0.038480979,318,-12.23695132,313155.73,2.895666667
7/20/2020 18:00,-0.123227331,337,-41.52761055,1419714.4,2.8403
7/20/2020 21:00,-0.080471417,385,-30.98149555,427980.94,2.8201
7/21/2020 0:00,-0.085562016,167,-14.28885667,464217.09,2.788633333
7/21/2020 3:00,0.088607595,83,7.354430385,211362,2.808633333
7/21/2020 6:00,-0.023373984,61,-1.425813024,187365.02,2.8615
7/21/2020 9:00,-0.12248996,105,-12.8614458,157957.54,2.8973
7/21/2020 12:00,-0.024344569,216,-5.258426904,386363.5,2.909666667
7/21/2020 15:00,0.000376648,348,0.131073504,1394780.28,2.9886
7/21/2020 18:00,-0.001412429,226,-0.319208954,601096.28,3.026133333
7/21/2020 21:00,-0.035636994,480,-17.10575712,379015.56,2.981533333
7/22/2020 0:00,0.019248261,182,3.503183502,266979.19,3.002833333
7/22/2020 3:00,0.026974952,87,2.346820824,266352,2.9701
7/22/2020 6:00,-0.062620424,66,-4.132947984,121632.33,2.945066667
7/22/2020 9:00,-0.065302144,91,-5.942495104,234423.75,2.989633333
7/22/2020 12:00,-0.068156425,242,-16.49385485,321170.88,3.009033333
7/22/2020 15:00,-0.005679702,325,-1.84590315,245093.03,2.973733333
7/22/2020 18:00,0.015602554,262,4.087869148,150822.04,2.974933333
7/22/2020 21:00,0.009792844,324,3.172881456,1111350.61,3.006066667
7/23/2020 0:00,-0.030436508,227,-6.909087316,714150.29,3.098466667
7/23/2020 3:00,-0.036608863,127,-4.649325601,289149.25,3.0823
7/23/2020 6:00,-0.017419962,124,-2.160075288,159280.34,3.065633333
7/23/2020 9:00,-0.011717721,160,-1.87483536,218997.42,3.083633333
7/23/2020 12:00,-0.063500931,262,-16.63724392,399444.07,3.083066667
7/23/2020 15:00,-0.127607076,382,-48.74590303,820895.55,3.0922
7/23/2020 18:00,0.033971801,404,13.7246076,1107148.4,3.188266667
7/23/2020 21:00,-0.044812879,311,-13.93680537,420926.38,3.181333333
7/24/2020 0:00,-0.029356061,168,-4.931818248,364592.52,3.1569
7/24/2020 3:00,0.006976744,97,0.676744168,576390.93,3.1289
7/24/2020 6:00,-0.010848126,69,-0.748520694,199767.67,3.060033333
7/24/2020 9:00,0.080018939,120,9.60227268,93954.8,3.0948
7/24/2020 12:00,0.037107684,277,10.27882847,209247.27,3.073533333
7/24/2020 15:00,0.011772487,420,4.94444454,345407.02,3.101666667
7/24/2020 18:00,-0.027374302,336,-9.197765472,333002.86,3.1294
7/24/2020 21:00,0.029582336,332,9.821335552,607367.23,3.097166667
7/25/2020 0:00,-0.003351955,199,-0.667039045,265611.15,3.059466667
7/25/2020 3:00,-0.033333333,107,-3.566666631,285971.56,3.0786
7/25/2020 6:00,-0.013333333,93,-1.239999969,109495.75,3.0584
7/25/2020 9:00,-0.008187134,180,-1.47368412,89326.39,3.057566667
7/25/2020 12:00,-0.038606403,239,-9.226930317,143450.44,3.071633333
7/25/2020 15:00,-0.064505188,307,-19.80309272,383120.63,3.056233333
7/25/2020 18:00,-0.011334776,498,-5.644718448,359205.07,3.0908
7/25/2020 21:00,-0.0226185,666,-15.063921,421021.7,3.075733333
7/26/2020 0:00,0.071296296,200,14.2592592,402808.63,3.045333333
7/26/2020 3:00,-0.021892655,137,-2.999293735,218185.36,3.055633333
7/26/2020 6:00,-0.091247672,113,-10.31098694,183500.03,3.0872
7/26/2020 9:00,-0.022003745,156,-3.43258422,591144.41,3.0589
7/26/2020 12:00,0.071696252,276,19.78816555,284465.44,3.024866667
7/26/2020 15:00,-0.083128307,454,-37.74025138,311218.01,3.002933333
7/26/2020 18:00,-0.221107544,390,-86.23194216,252346.9,2.9981
