time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume ETH,open ETH
1/26/2019 0:00,-0.118459491,2882,-341.4002531,5378.128407,114.9766667
1/26/2019 3:00,-0.085676265,2404,-205.9657411,4966.306197,115.47
1/26/2019 6:00,-0.129621512,2968,-384.7166476,12863.83338,116.1166667
1/26/2019 9:00,-0.149402817,2980,-445.2203947,1271.51725,116.3766667
1/26/2019 12:00,-0.182442499,3480,-634.8998965,3350.004818,116.0766667
1/26/2019 15:00,-0.13310494,4169,-554.9144949,7060.496086,115.5866667
1/26/2019 18:00,-0.155881611,3849,-599.9883207,3226.247293,115.5433333
1/26/2019 21:00,-0.127497009,3054,-389.3758655,5504.810422,115.2533333
1/27/2019 0:00,-0.144285634,2653,-382.789787,13326.85198,114.9133333
1/27/2019 3:00,-0.115767488,2216,-256.5407534,4892.94941,114.7733333
1/27/2019 6:00,-0.101710905,2536,-257.9388551,3416.311804,114.5033333
1/27/2019 9:00,-0.096180133,2888,-277.7682241,9783.725833,113.98
1/27/2019 12:00,-0.097778184,3424,-334.792502,19524.81886,113.4166667
1/27/2019 15:00,-0.080669211,3773,-304.3649331,7322.170276,113.0666667
1/27/2019 18:00,-0.116604757,3438,-400.8871546,5566.238812,113.3866667
1/27/2019 21:00,-0.104467587,2972,-310.4776686,6966.276099,112.94
1/28/2019 0:00,-0.103408991,2650,-274.0338262,31627.68945,110.7766667
1/28/2019 3:00,-0.116469765,2850,-331.9388303,30146.08185,108.1566667
1/28/2019 6:00,-0.112176831,3390,-380.2794571,14373.03383,106.4133333
1/28/2019 9:00,-0.13225667,3823,-505.6172494,13764.48396,105.6533333
1/28/2019 12:00,-0.100489906,4812,-483.5574277,13472.49197,103.4366667
1/28/2019 15:00,-0.156004268,5239,-817.3063601,38213.0617,102.9533333
1/28/2019 18:00,-0.112204587,5075,-569.438279,15942.16789,103.56
1/28/2019 21:00,-0.118643959,4017,-476.5927833,18199.29807,104.07
1/29/2019 0:00,-0.062775898,3494,-219.3389876,12060.04396,104.9333333
1/29/2019 3:00,-0.08337723,2847,-237.3749738,11987.76115,104.01
1/29/2019 6:00,-0.137616429,3618,-497.8962401,10528.15821,102.9833333
1/29/2019 9:00,-0.127639076,3998,-510.3010258,5066.597344,103.9666667
1/29/2019 12:00,-0.106733622,4704,-502.0749579,5532.181378,103.9466667
1/29/2019 15:00,-0.14209037,5453,-774.8187876,14908.66022,104.9133333
1/29/2019 18:00,-0.123440018,4749,-586.2166455,9458.050738,104.67
1/29/2019 21:00,-0.132173701,4256,-562.5312715,7959.471182,104.4833333
1/30/2019 0:00,-0.124145442,3454,-428.7983567,9573.199819,103.64
1/30/2019 3:00,-0.123637262,3054,-377.5881981,12511.83382,104.3466667
1/30/2019 6:00,-0.125140942,3751,-469.4036734,4657.04153,104.56
1/30/2019 9:00,-0.119191604,4015,-478.5542901,3622.228178,104.66
1/30/2019 12:00,-0.120287771,4730,-568.9611568,39211.95249,106.62
1/30/2019 15:00,-0.168298532,5662,-952.9062882,14739.03889,108.1533333
1/30/2019 18:00,-0.149212837,4675,-697.570013,13341.04817,107.7633333
1/30/2019 21:00,-0.146804669,3887,-570.6297484,13786.79844,107.3133333
1/31/2019 0:00,-0.110670526,3560,-393.9870726,20064.51925,108.8233333
1/31/2019 3:00,-0.13272535,3036,-402.9541626,6128.221915,108.6666667
1/31/2019 6:00,-0.127255866,3733,-475.0461478,8903.961162,108.3733333
1/31/2019 9:00,-0.111899559,4292,-480.2729072,6595.513409,106.48
1/31/2019 12:00,-0.06469051,4966,-321.2530727,13278.24337,106.2966667
1/31/2019 15:00,-0.094679729,5621,-532.1947567,10483.14794,105.4733333
1/31/2019 18:00,-0.08697628,5181,-450.6241067,12823.39901,105.4
1/31/2019 21:00,-0.129421054,4318,-558.8401112,7304.115864,106.0666667
2/1/2019 0:00,-0.166609287,3363,-560.3070322,19695.77507,104.7866667
2/1/2019 3:00,-0.140731251,2843,-400.0989466,5937.405379,103.87
2/1/2019 6:00,-0.171624838,3448,-591.7624414,10019.49976,103.81
2/1/2019 9:00,-0.222672112,4036,-898.704644,8978.321715,104.6333333
2/1/2019 12:00,-0.151736493,4901,-743.6605522,7442.448891,105.88
2/1/2019 15:00,-0.132888923,5022,-667.3681713,6970.911715,105.66
2/1/2019 18:00,-0.113260743,4648,-526.4359335,10991.5616,105.6933333
2/1/2019 21:00,-0.190406702,3795,-722.5934341,18455.19237,106.32
2/2/2019 0:00,-0.153435345,3023,-463.8350479,4314.672335,106.02
2/2/2019 3:00,-0.13854419,2532,-350.7938891,7264.922442,106.1733333
2/2/2019 6:00,-0.13117506,2549,-334.3652279,3409.169891,105.5733333
2/2/2019 9:00,-0.137097114,2710,-371.5331789,5765.049006,106.14
2/2/2019 12:00,-0.122393691,3351,-410.1412585,4606.329261,106.7933333
2/2/2019 15:00,-0.162000543,3943,-638.768141,6384.764889,106.5533333
2/2/2019 18:00,-0.159970665,3685,-589.4919005,5734.672379,106.74
2/2/2019 21:00,-0.168042336,3185,-535.2148402,21363.8221,106.66
2/3/2019 0:00,-0.138875301,2546,-353.5765163,11473.75243,108.9933333
2/3/2019 3:00,-0.141205812,2235,-315.5949898,8024.375979,108.4933333
2/3/2019 6:00,-0.081474997,2544,-207.2723924,12588.36232,108.0633333
2/3/2019 9:00,-0.069497321,2619,-182.0134837,2011.324214,107.01
2/3/2019 12:00,-0.116735792,3143,-366.9005943,3230.469816,106.83
2/3/2019 15:00,-0.159108184,3664,-582.9723862,5608.963027,106.4033333
2/3/2019 18:00,-0.187236777,3521,-659.2606918,8047.46961,106.01
2/3/2019 21:00,-0.118221499,3219,-380.5550053,14961.22585,105.5933333
2/4/2019 0:00,-0.091120467,2612,-238.0066598,3782.867939,105.8733333
2/4/2019 3:00,-0.092438523,2570,-237.5670041,5259.816125,105.8566667
2/4/2019 6:00,-0.158305524,3064,-485.0481255,6261.065112,105.9666667
2/4/2019 9:00,-0.132722607,3611,-479.2613339,4136.871552,106.1866667
2/4/2019 12:00,-0.183158231,4211,-771.2793107,4659.386776,105.7966667
2/4/2019 15:00,-0.147213325,4870,-716.9288928,6238.47382,106.1566667
2/4/2019 18:00,-0.150944358,4836,-729.9669153,10037.48966,106.4233333
2/4/2019 21:00,-0.205112286,4697,-963.4124073,5405.116525,106.4266667
2/5/2019 0:00,-0.167694209,3433,-575.6942195,7735.265129,105.87
2/5/2019 3:00,-0.178407477,3005,-536.1144684,3544.728021,105.8066667
2/5/2019 6:00,-0.149627165,3446,-515.6152106,2075.904918,105.8466667
