time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume EOS,open EOS
5/4/2019 21:00,-0.079605018,3777,-300.668153,16829.8,4.905666667
5/5/2019 0:00,-0.12274562,2944,-361.3631053,2581.6,4.887666667
5/5/2019 3:00,-0.093139955,2709,-252.3161381,3101.3,4.882
5/5/2019 6:00,-0.096568251,3045,-294.0503243,5454.7,4.893666667
5/5/2019 9:00,-0.102475174,2943,-301.5844371,4489.3,4.831666667
5/5/2019 12:00,-0.136150835,3880,-528.2652398,1988.4,4.8405
5/5/2019 15:00,-0.111537027,3914,-436.5559237,5258.1,4.827666667
5/5/2019 18:00,-0.067374628,3967,-267.2751493,7322.1,4.826333333
5/5/2019 21:00,-0.160796196,3456,-555.7116534,1012.4,4.840666667
5/6/2019 0:00,-0.102370461,3325,-340.3817828,17352.7,4.732666667
5/6/2019 3:00,-0.120017235,3037,-364.4923427,8897.2,4.691333333
5/6/2019 6:00,-0.074798052,3650,-273.0128898,9813.4,4.637333333
5/6/2019 9:00,-0.088512763,4318,-382.1981106,927.9,4.691
5/6/2019 12:00,-0.117151011,5735,-671.8610481,7709.1,4.706333333
5/6/2019 15:00,-0.136314584,5513,-751.5023016,26775.4,4.813333333
5/6/2019 18:00,-0.115465808,4923,-568.4381728,6391.2,4.893333333
5/6/2019 21:00,-0.078833039,3850,-303.5072002,15195.2,4.908666667
5/7/2019 0:00,-0.072424608,3823,-276.8792764,13756,4.915333333
5/7/2019 3:00,-0.098851516,3841,-379.688673,17965.2,4.962333333
5/7/2019 6:00,-0.068176052,4045,-275.7721303,5582,4.915666667
5/7/2019 9:00,-0.077714269,4519,-351.1907816,5757.2,4.900333333
5/7/2019 12:00,-0.071617109,5758,-412.3713136,36710.5,4.9445
5/7/2019 15:00,-0.085237055,5522,-470.6790177,3242.3,4.814333333
5/7/2019 18:00,-0.09229874,5058,-466.8470269,6731.9,4.824666667
5/7/2019 21:00,-0.07022401,4406,-309.4069881,13555.6,4.843666667
5/8/2019 0:00,-0.17697379,5125,-906.9906738,35356.7,4.761
5/8/2019 3:00,-0.181909803,4756,-865.1630231,10268.9,4.802
5/8/2019 6:00,-0.181687716,5735,-1041.979051,1153.2,4.841
5/8/2019 9:00,-0.18780581,6009,-1128.525112,2856.6,4.84
5/8/2019 12:00,-0.15534268,6870,-1067.204212,1860.1,4.843333333
5/8/2019 15:00,-0.168055898,6579,-1105.639753,5012.3,4.844333333
5/8/2019 18:00,-0.183078649,5907,-1081.44558,7881.7,4.817333333
5/8/2019 21:00,-0.170412062,5205,-886.9947827,4042.2,4.839
5/9/2019 0:00,-0.155999067,5190,-809.6351577,25268.2,4.902333333
5/9/2019 3:00,-0.082703017,4222,-349.1721378,12746.9,4.913
5/9/2019 6:00,-0.115429839,4712,-543.9054014,2408.2,4.862
5/9/2019 9:00,-0.201982433,5001,-1010.114147,3022,4.851333333
5/9/2019 12:00,-0.181563752,6141,-1114.983001,8351.9,4.791666667
5/9/2019 15:00,-0.135277897,6083,-822.8954475,10721.4,4.786
5/9/2019 18:00,-0.122587422,5499,-674.1082336,13653.2,4.757666667
5/9/2019 21:00,-0.10688919,4971,-531.3461635,22317.4,4.795666667
5/10/2019 0:00,-0.128212842,4194,-537.7246593,64615.9,4.706666667
5/10/2019 3:00,-0.109039226,4344,-473.6663977,59014.3,4.759666667
5/10/2019 6:00,-0.159467797,4753,-757.9504391,13302.9,4.870666667
5/10/2019 9:00,-0.146140746,5116,-747.6560565,6936.7,4.819333333
5/10/2019 12:00,-0.126562558,6182,-782.4097336,14634.4,4.787666667
5/10/2019 15:00,-0.102641548,6841,-702.1708299,16514.4,4.777
5/10/2019 18:00,-0.099437606,5961,-592.7475694,27566.5,4.822
5/10/2019 21:00,-0.087911127,4634,-407.3801625,3969.4,4.816
5/11/2019 0:00,-0.130631783,3838,-501.3647832,13875.6,4.842
5/11/2019 3:00,-0.090019509,4506,-405.6279076,23342.3,4.878
5/11/2019 6:00,-0.085789058,5918,-507.6996452,37860.8,4.926666667
5/11/2019 9:00,-0.088489378,4797,-424.4835463,47109.3,5.253666667
5/11/2019 12:00,-0.060802634,5248,-319.0922232,24722.8,5.296666667
5/11/2019 15:00,-0.081898254,6406,-524.6402151,55473,5.360333333
5/11/2019 18:00,-0.059744352,5676,-339.108942,48662.7,5.579
5/11/2019 21:00,-0.088557565,6963,-616.6263251,59473.2,5.649333333
5/12/2019 0:00,-0.102315178,4549,-465.4317447,42326.2,5.535
5/12/2019 3:00,-0.085536663,3276,-280.218108,12728,5.575
5/12/2019 6:00,-0.081570263,4724,-385.3379224,21352.8,5.709333333
5/12/2019 9:00,-0.088367369,4393,-388.197852,44893.3,5.52
5/12/2019 12:00,-0.108001106,4859,-524.7773741,20238,5.398333333
5/12/2019 15:00,-0.124886538,5461,-682.005384,18803.5,5.274333333
5/12/2019 18:00,-0.108341377,4430,-479.9523001,6559.2,5.327
5/12/2019 21:00,-0.141840782,3826,-542.6828319,34497.5,5.368333333
5/13/2019 0:00,-0.148575517,3247,-482.4247037,4204.2,5.379333333
5/13/2019 3:00,-0.083726386,3210,-268.7616991,10193.5,5.403666667
5/13/2019 6:00,-0.086597118,3919,-339.3741054,9418.9,5.370333333
5/13/2019 9:00,-0.169532095,4971,-842.7440442,16993.3,5.361
5/13/2019 12:00,-0.139590691,8040,-1122.309156,31592.6,5.450666667
5/13/2019 15:00,-0.106017673,11723,-1242.845181,111580.1,5.652
5/13/2019 18:00,-0.113928305,8244,-939.2249464,18016.7,5.680333333
5/13/2019 21:00,-0.120692249,8655,-1044.591415,70363,5.652666667
5/14/2019 0:00,-0.137279686,5370,-737.1919138,41011.7,5.595666667
5/14/2019 3:00,-0.105986062,4684,-496.4387144,75749.8,5.986
5/14/2019 6:00,-0.148307919,5784,-857.8130035,48806.4,6.139
5/14/2019 9:00,-0.130019963,6373,-828.6172242,14896.8,5.838666667
5/14/2019 12:00,-0.124525377,8102,-1008.904604,24552,5.887666667
5/14/2019 15:00,-0.094938896,7744,-735.2068106,22111.2,5.79
5/14/2019 18:00,-0.089884357,6522,-586.2257764,30341,5.815666667
5/14/2019 21:00,-0.094130362,5981,-562.9936951,27462.1,5.855
5/15/2019 0:00,-0.100082909,4909,-491.3070003,53482.3,6.089333333
5/15/2019 3:00,-0.079196184,4449,-352.3438226,26129.5,6.168333333
5/15/2019 6:00,-0.165473552,5165,-854.6708961,47296,6.196333333
5/15/2019 9:00,-0.163466545,5513,-901.1910626,33380.5,6.15
5/15/2019 12:00,-0.124975036,6817,-851.9548204,24782.3,6.15
5/15/2019 15:00,-0.115119345,7942,-914.277838,69586.8,6.287
5/15/2019 18:00,-0.101197999,6953,-703.629687,45419.4,6.375
5/15/2019 21:00,-0.10625697,5676,-603.1145617,42292.7,6.407333333
5/16/2019 0:00,-0.118510345,5651,-669.7019596,84790.1,6.690666667
5/16/2019 3:00,-0.078177133,4367,-341.3995398,82489.6,6.728666667
5/16/2019 6:00,-0.13034044,4677,-609.6022379,20861.7,6.642
5/16/2019 9:00,-0.147863691,5284,-781.3117432,34148.8,6.496
5/16/2019 12:00,-0.106092337,6335,-672.0949549,32795.6,6.393
5/16/2019 15:00,-0.120549831,6553,-789.9630425,49690.1,6.618333333
5/16/2019 18:00,-0.089395019,5940,-531.0064129,17633,6.476666667
5/16/2019 21:00,-0.091390149,4706,-430.0820412,25203.6,6.456666667
5/17/2019 0:00,-0.115545032,4008,-463.1044883,40313.8,6.459333333
5/17/2019 3:00,-0.070482797,5479,-386.1752448,114697.7,6.018
5/17/2019 6:00,-0.115884288,4582,-530.9818076,18505.8,5.876333333
5/17/2019 9:00,-0.14719439,4810,-708.0050159,19528,5.944666667
5/17/2019 12:00,-0.136645973,6258,-855.130499,17733.1,5.919333333
5/17/2019 15:00,-0.122408831,6348,-777.0512592,26459.6,5.858666667
5/17/2019 18:00,-0.110510183,5338,-589.9033569,11084.6,5.800666667
5/17/2019 21:00,-0.137744288,4822,-664.2029567,19466.8,5.935666667
5/18/2019 0:00,-0.148558336,3763,-559.0250184,21363.1,6.003666667
5/18/2019 3:00,-0.158209051,3232,-511.3316528,12489,6.004333333
5/18/2019 6:00,-0.121367258,3360,-407.7939869,4857.5,5.966
5/18/2019 9:00,-0.167501725,3585,-600.4936841,10260,5.918333333
5/18/2019 12:00,-0.187453354,4368,-818.7962503,5677.1,5.907333333
5/18/2019 15:00,-0.121029206,4632,-560.6072822,8280.4,5.934666667
5/18/2019 18:00,-0.136714062,4250,-581.0347635,11427.2,5.903
5/18/2019 21:00,-0.12369678,3627,-448.6482211,5212.7,5.916666667
5/19/2019 0:00,-0.095219239,3544,-337.456983,8757,5.980666667
5/19/2019 3:00,-0.09509395,3462,-329.2152549,53707.2,6.247333333
5/19/2019 6:00,-0.136639448,3500,-478.238068,8217.9,6.273666667
5/19/2019 9:00,-0.113302423,4101,-464.6532367,6583.6,6.362
5/19/2019 12:00,-0.144668605,4477,-647.6813446,10072.7,6.286
5/19/2019 15:00,-0.151525693,4944,-749.1430262,3578.5,6.308333333
5/19/2019 18:00,-0.097418641,4830,-470.532036,5840.4,6.337333333
5/19/2019 21:00,-0.085164557,4733,-403.0838483,17112.7,6.454
5/20/2019 0:00,-0.106182129,4449,-472.4042919,16401.4,6.358666667
5/20/2019 3:00,-0.140630328,3565,-501.3471193,7071.8,6.321333333
5/20/2019 6:00,-0.117351623,4120,-483.4886868,14643.9,6.247666667
5/20/2019 9:00,-0.110940984,4864,-539.6169462,20255.6,6.256666667
5/20/2019 12:00,-0.105380483,5917,-623.5363179,14577.4,6.156333333
5/20/2019 15:00,-0.130063672,5748,-747.6059867,5109.3,6.17
5/20/2019 18:00,-0.115974193,5739,-665.5758936,12578.7,6.218333333
5/20/2019 21:00,-0.121269005,4872,-590.8225924,9658.1,6.286333333
5/21/2019 0:00,-0.129965128,4027,-523.3695705,6124.9,6.262333333
5/21/2019 3:00,-0.147544673,3785,-558.4565873,7709.6,6.199333333
5/21/2019 6:00,-0.132125243,4277,-565.0996643,4930.5,6.250333333
5/21/2019 9:00,-0.130571475,4761,-621.6507925,4455.9,6.296
5/21/2019 12:00,-0.15398216,7258,-1117.602517,11315.5,6.260333333
5/21/2019 15:00,-0.161947032,7130,-1154.682338,2222.1,6.276666667
5/21/2019 18:00,-0.163915932,6634,-1087.418293,4406.3,6.353
5/21/2019 21:00,-0.164407149,4965,-816.2814948,10777.2,6.327666667
5/22/2019 0:00,-0.183507288,4339,-796.2381226,5720,6.327333333
5/22/2019 3:00,-0.13650015,3770,-514.6055655,8562.5,6.278666667
5/22/2019 6:00,-0.112664557,4770,-537.4099369,1249.3,6.283
5/22/2019 9:00,-0.131344928,4954,-650.6827733,5610.4,6.240333333
5/22/2019 12:00,-0.144994432,6726,-975.2325496,4552.3,6.203333333
5/22/2019 15:00,-0.138132765,6748,-932.1198982,14652,6.276666667
5/22/2019 18:00,-0.128328146,6387,-819.6318685,61184.7,6.247666667
5/22/2019 21:00,-0.13238588,5117,-677.418548,28492.9,5.955
5/23/2019 0:00,0.054263566,37,2.007751942,3504.8,5.929666667
5/23/2019 3:00,0,18,0,2538.5,5.922333333
5/23/2019 6:00,-0.073089354,2848,-208.1584802,7088.6,5.833
5/23/2019 9:00,-0.133431681,4982,-664.7566347,6607.6,5.826
5/23/2019 12:00,-0.148332698,6102,-905.1261232,10026.9,5.875333333
5/23/2019 15:00,-0.105322979,6565,-691.4453571,17111.9,5.947
5/23/2019 18:00,-0.090443682,6236,-564.006801,8866.4,5.901666667
5/23/2019 21:00,-0.092555291,4821,-446.2090579,15835.3,6.007333333
5/24/2019 0:00,-0.093200018,3722,-346.890467,6077,6.045
5/24/2019 3:00,-0.148869047,3676,-547.2426168,1973.1,6.038
5/24/2019 6:00,-0.109635731,4482,-491.3873463,23221.2,6.166666667
5/24/2019 9:00,-0.100375417,5333,-535.3020989,13741.3,6.308
5/24/2019 12:00,-0.131197887,6350,-833.1065825,12633.1,6.394
5/24/2019 15:00,-0.130807039,7063,-923.8901165,33335.9,6.473333333
5/24/2019 18:00,-0.102956327,5601,-576.6583875,14390.8,6.481666667
5/24/2019 21:00,-0.160305835,4723,-757.1244587,17471.7,6.525333333
5/25/2019 0:00,-0.129297408,3646,-471.4183496,4569.9,6.432
