time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume LINK,open LINK
9/13/2020 0:00,-0.155126707,4575,-709.7046845,313324.26,12.74467333
9/13/2020 3:00,-0.120287993,4283,-515.193474,145166.13,12.80827
9/13/2020 6:00,-0.135745019,4760,-646.1462904,202999.32,12.89266
9/13/2020 9:00,-0.121903893,5129,-625.2450672,412722.7,12.84253333
9/13/2020 12:00,-0.076741721,6016,-461.6781935,289291.85,12.29047667
9/13/2020 15:00,-0.110028089,6778,-745.7703872,551808.71,12.09353333
9/13/2020 18:00,-0.091525251,6217,-569.0124855,201412.21,11.99217667
9/13/2020 21:00,-0.157992783,5121,-809.0810417,217953.11,11.99820333
9/14/2020 0:00,-0.123023892,4572,-562.4652342,341508.41,11.92260667
9/14/2020 3:00,-0.153459585,4336,-665.4007606,208077.27,11.95802
9/14/2020 6:00,-0.116767255,5555,-648.6421015,192528.43,11.82516667
9/14/2020 9:00,-0.153139554,6525,-999.2355899,138415.29,11.84121667
9/14/2020 12:00,-0.095991627,7967,-764.7652923,425153.49,12.08024333
9/14/2020 15:00,-0.099606709,8191,-815.8785534,303303.32,12.26720667
9/14/2020 18:00,-0.103286284,7306,-754.6095909,186977.87,12.10447333
9/14/2020 21:00,-0.131160723,6212,-814.7704113,274779.62,12.07482
9/15/2020 0:00,-0.116095404,5467,-634.6935737,247774.26,12.09214333
9/15/2020 3:00,-0.035944977,5252,-188.7830192,120308.5,12.05127667
9/15/2020 6:00,-0.098393976,5845,-575.1127897,191255.06,11.97866667
9/15/2020 9:00,-0.008786968,8375,-73.590857,121679.05,12.01721333
9/15/2020 12:00,-0.030837922,12916,-398.3026006,491604.46,11.85894333
9/15/2020 15:00,-0.033640598,11985,-403.182567,500082.28,11.46584333
9/15/2020 18:00,-0.055264101,10615,-586.6284321,662326.92,11.32044667
9/15/2020 21:00,-0.094715106,8968,-849.4050706,677009.83,11.19057
9/16/2020 0:00,-0.088081149,8102,-713.6334692,929725.54,10.77576
9/16/2020 3:00,-0.076599224,6959,-533.0539998,355834.13,10.79185667
9/16/2020 6:00,-0.086568077,8243,-713.5806587,265580.73,10.98065667
9/16/2020 9:00,-0.073763934,8232,-607.2247047,136069.63,11.05193333
9/16/2020 12:00,-0.023844334,11544,-275.2589917,586108.12,11.11909333
9/16/2020 15:00,-0.043484996,12382,-538.4312205,609869.26,10.90667
9/16/2020 18:00,-0.073758628,10318,-761.0415237,416162.22,10.78261
9/16/2020 21:00,-0.095485151,9083,-867.2916265,243597.28,10.79000333
9/17/2020 0:00,-0.067733408,8400,-568.9606272,824295.66,11.05619667
9/17/2020 3:00,-0.099555569,7377,-734.4214325,253737.52,10.99248667
9/17/2020 6:00,-0.097852171,7634,-747.0034734,178456.15,10.97325333
9/17/2020 9:00,-0.097087643,8051,-781.6526138,173158.65,10.71085333
9/17/2020 12:00,-0.060200724,11097,-668.0474342,337840.22,10.72857333
9/17/2020 15:00,-0.077866202,11878,-924.8947474,267760.88,10.69217333
9/17/2020 18:00,-0.059356422,11664,-692.3333062,1108719.96,10.73337667
9/17/2020 21:00,-0.070097605,9340,-654.7116307,354647.63,10.92395667
9/18/2020 0:00,-0.06454702,7633,-492.6874037,288842.41,10.94620667
9/18/2020 3:00,-0.100314918,6807,-682.8436468,334075.97,10.9407
9/18/2020 6:00,-0.054834186,7742,-424.526268,340455.69,10.87491667
9/18/2020 9:00,-0.057577278,8521,-490.6159858,142560.19,10.88316667
9/18/2020 12:00,-0.010951509,10521,-115.2208262,248166.4,10.79378333
9/18/2020 15:00,-0.034166792,11200,-382.6680704,1596012.54,10.47499
9/18/2020 18:00,-0.065482879,10201,-667.9908487,763877.77,10.15083
9/18/2020 21:00,-0.064144872,7949,-509.8875875,768410.52,10.16873
9/19/2020 0:00,-0.038796985,6550,-254.1202518,639669.99,10.02137333
9/19/2020 3:00,-0.04780325,5780,-276.302785,235180.14,10.18106667
9/19/2020 6:00,-0.063021024,6527,-411.3382236,113525.45,10.13255667
9/19/2020 9:00,-0.083304543,7146,-595.2942643,223999.08,10.23031
9/19/2020 12:00,-0.025638157,8833,-226.4618408,246026.91,10.40429
9/19/2020 15:00,-0.052793166,10280,-542.7137465,228417.34,10.20414333
9/19/2020 18:00,-0.060839994,8658,-526.7526681,416078.65,10.15929333
