time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume XLM,open XLM
3/30/2019 9:00,-0.194526437,3235,-629.2930237,315409,0.105737667
3/30/2019 12:00,-0.133098656,3875,-515.757292,418300,0.105954333
3/30/2019 15:00,-0.14377132,3926,-564.4462023,978439,0.106704
3/30/2019 18:00,-0.14122735,3537,-499.521137,738051,0.106143333
3/30/2019 21:00,-0.195991829,3005,-588.9554461,596007,0.106263667
3/31/2019 0:00,-0.145347417,2437,-354.2116552,710527,0.106964
3/31/2019 3:00,-0.160002379,2262,-361.9253813,436128,0.106358667
3/31/2019 6:00,-0.126835267,2646,-335.6061165,192774,0.106759
3/31/2019 9:00,-0.163698409,2713,-444.1137836,199858,0.107304333
3/31/2019 12:00,-0.163409742,3414,-557.8808592,392381,0.107207333
3/31/2019 15:00,-0.128239363,3599,-461.5334674,922116,0.107187333
3/31/2019 18:00,-0.184145432,3654,-672.8674085,959968,0.107327
3/31/2019 21:00,-0.14370996,3103,-445.9320059,1200519,0.107581333
4/1/2019 0:00,-0.138949544,3079,-427.825646,2088154,0.108380333
4/1/2019 3:00,-0.107649416,2725,-293.3446586,1668198,0.110122
4/1/2019 6:00,-0.062265054,3675,-228.8240735,1012837,0.109918333
4/1/2019 9:00,-0.116442732,4130,-480.9084832,545563,0.109494667
4/1/2019 12:00,-0.089294847,5061,-451.9212207,1601165,0.109645667
4/1/2019 15:00,-0.108863074,4989,-543.1178762,1731224,0.110446667
4/1/2019 18:00,-0.08570324,4445,-380.9509018,2115801,0.110216333
4/1/2019 21:00,-0.114772888,3509,-402.738064,1102020,0.110144667
4/2/2019 0:00,-0.111987189,3422,-383.2201608,1303852,0.110347333
4/2/2019 3:00,-0.125438362,6620,-830.4019564,7428578,0.112246
4/2/2019 6:00,-0.137655189,6847,-942.5250791,2687326,0.117227
4/2/2019 9:00,-0.179048674,6959,-1245.999722,2019539,0.118126
4/2/2019 12:00,-0.060712123,7943,-482.236393,5982303,0.120448
4/2/2019 15:00,-0.067337967,7141,-480.8604223,3869773,0.117750667
4/2/2019 18:00,-0.098755129,6222,-614.4544126,3855320,0.119146667
4/2/2019 21:00,-0.138683821,5482,-760.2647067,4796520,0.119900667
4/3/2019 0:00,-0.079328622,5669,-449.7139581,8814438,0.125576
4/3/2019 3:00,-0.06472946,4781,-309.4715483,6099938,0.127968333
4/3/2019 6:00,-0.078962075,4904,-387.2300158,1627962,0.124631667
4/3/2019 9:00,-0.14546052,5080,-738.9394416,1401305,0.124192667
4/3/2019 12:00,-0.104638304,6879,-719.8068932,4355636,0.127091667
4/3/2019 15:00,-0.116351,7507,-873.446957,6097172,0.128595
4/3/2019 18:00,-0.094725488,7358,-696.9901407,6415311,0.130732
4/3/2019 21:00,-0.102273478,6114,-625.3000445,10279037,0.129067667
4/4/2019 0:00,-0.119406692,4184,-499.5975993,3779795,0.121943667
4/4/2019 3:00,-0.113474518,3444,-390.80624,1804728,0.121553667
4/4/2019 6:00,-0.089935849,4714,-423.9575922,990289,0.123209667
4/4/2019 9:00,-0.102627037,5006,-513.7509472,1022908,0.122035333
4/4/2019 12:00,-0.128008952,5780,-739.8917426,1646005,0.121268
4/4/2019 15:00,-0.098149205,6075,-596.2564204,2571133,0.12005
4/4/2019 18:00,-0.088455432,5393,-477.0401448,3711796,0.116398333
4/4/2019 21:00,-0.128570348,4395,-565.0666795,2098394,0.117049
4/5/2019 0:00,-0.104465937,3693,-385.7927053,1804561,0.118902333
4/5/2019 3:00,-0.069372816,3487,-241.9030094,5892774,0.121131333
4/5/2019 6:00,-0.127332867,4209,-535.9440372,1155921,0.126321333
4/5/2019 9:00,-0.093825873,4260,-399.698219,1350806,0.126245333
4/5/2019 12:00,-0.107504764,5491,-590.3086591,2607460,0.127247667
4/5/2019 15:00,-0.118146244,5638,-666.1085237,2314927,0.126882667
4/5/2019 18:00,-0.200599072,5337,-1070.597247,4406755,0.128762333
4/5/2019 21:00,-0.172659727,4317,-745.3720415,2830764,0.127863
4/6/2019 0:00,-0.151541707,3120,-472.8101258,1079808,0.126868
4/6/2019 3:00,-0.176460176,2816,-496.9118556,1183333,0.125896667
4/6/2019 6:00,-0.151597252,3300,-500.2709316,570391,0.125956667
4/6/2019 9:00,-0.171038049,3530,-603.764313,412259,0.124102667
4/6/2019 12:00,-0.142652591,4042,-576.6017728,906114,0.125377
4/6/2019 15:00,-0.093641874,4813,-450.6983396,4558370,0.127152333
4/6/2019 18:00,-0.113555063,4128,-468.7553001,1702260,0.128265667
4/6/2019 21:00,-0.162552914,3476,-565.0339291,2856824,0.124900667
4/7/2019 0:00,-0.147145647,2989,-439.8183389,1476739,0.124192
4/7/2019 3:00,-0.132529283,2868,-380.0939836,2165111,0.126662333
4/7/2019 6:00,-0.109919122,3092,-339.8699252,3164573,0.12793
4/7/2019 9:00,-0.077633889,3513,-272.7278521,1340675,0.129824667
4/7/2019 12:00,-0.127166749,4269,-542.8748515,2431468,0.130503333
4/7/2019 15:00,-0.139995688,4419,-618.6409453,1540015,0.128206
4/7/2019 18:00,-0.113313782,4108,-465.4930165,2965263,0.129775
4/7/2019 21:00,-0.100503017,3838,-385.7305792,5006470,0.132079333
4/8/2019 0:00,-0.076573716,3749,-287.0748613,5681352,0.134438667
4/8/2019 3:00,-0.121283289,3174,-384.9531593,2545143,0.134085
4/8/2019 6:00,-0.114133786,4451,-508.0094815,1718301,0.133138333
4/8/2019 9:00,-0.129365256,4798,-620.6944983,1472082,0.129350667
4/8/2019 12:00,-0.102412852,5710,-584.7773849,1555259,0.127434333
4/8/2019 15:00,-0.138590467,5628,-779.9871483,2043199,0.131033333
4/8/2019 18:00,-0.156441076,4905,-767.3434778,1165656,0.129749
4/8/2019 21:00,-0.094583752,4329,-409.4530624,1339662,0.1312
4/9/2019 0:00,-0.120994735,3422,-414.0439832,1972697,0.129663333
4/9/2019 3:00,-0.103984378,3407,-354.2747758,1701647,0.127971
4/9/2019 6:00,-0.157159259,4935,-775.5809432,477160,0.126918333
4/9/2019 9:00,-0.145621088,5655,-823.4872526,796174,0.126727
4/9/2019 12:00,-0.141600882,6739,-954.2483438,960175,0.128113667
4/9/2019 15:00,-0.143242086,6299,-902.2818997,1635169,0.12712
